Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_9216_8192_6144_ld_6144_6144_9216,Gemm_Rocblas_-1162085592,40.7556
GemmTunableOp_BFloat16_TN,tn_12288_8192_12288_ld_12288_12288_12288,Gemm_Rocblas_-1162085575,123.59
GemmTunableOp_BFloat16_TN,tn_9216_8192_5120_ld_5120_5120_9216,Default,28.9523
GemmTunableOp_BFloat16_TN,tn_9216_8192_4096_ld_4096_4096_9216,Gemm_Rocblas_-1162085590,26.4896
GemmTunableOp_BFloat16_TN,tn_9216_8192_2048_ld_2048_2048_9216,Gemm_Hipblaslt_502,14.3403
GemmTunableOp_BFloat16_TN,tn_9216_8192_1024_ld_1024_1024_9216,Gemm_Rocblas_-1162085569,5.37752
GemmTunableOp_BFloat16_TN,tn_8192_8192_10240_ld_10240_10240_8192,Default,63.3775
GemmTunableOp_BFloat16_TN,tn_8192_8192_8192_ld_8192_8192_8192,Gemm_Rocblas_-1162085588,50.8605
GemmTunableOp_BFloat16_TN,tn_8192_8192_5120_ld_5120_5120_8192,Gemm_Rocblas_-1162085592,25.677
GemmTunableOp_BFloat16_TN,tn_8192_8192_4096_ld_4096_4096_8192,Gemm_Rocblas_-1162085591,24.1883
GemmTunableOp_BFloat16_TN,tn_15360_8192_14336_ld_14336_14336_15360,Gemm_Rocblas_-1162085575,179.924
GemmTunableOp_BFloat16_TN,tn_8192_8192_3072_ld_3072_3072_8192,Gemm_Rocblas_-1162085588,15.5914
GemmTunableOp_BFloat16_TN,tn_8192_8192_2048_ld_2048_2048_8192,Gemm_Rocblas_-1162085569,11.8908
GemmTunableOp_BFloat16_TN,tn_7168_8192_8192_ld_8192_8192_7168,Default,42.8203
GemmTunableOp_BFloat16_TN,tn_7168_8192_6144_ld_6144_6144_7168,Gemm_Rocblas_-1162085592,31.564
GemmTunableOp_BFloat16_TN,tn_7168_8192_3072_ld_3072_3072_7168,Gemm_Rocblas_-1162085588,13.3573
GemmTunableOp_BFloat16_TN,tn_6144_8192_15360_ld_15360_15360_6144,Gemm_Rocblas_-1162085575,66.9894
GemmTunableOp_BFloat16_TN,tn_6144_8192_13312_ld_13312_13312_6144,Gemm_Rocblas_-1162085575,55.2785
GemmTunableOp_BFloat16_TN,tn_6144_8192_11264_ld_11264_11264_6144,Default,45.9966
GemmTunableOp_BFloat16_TN,tn_6144_8192_10240_ld_10240_10240_6144,Default,49.5454
GemmTunableOp_BFloat16_TN,tn_6144_8192_9216_ld_9216_9216_6144,Default,36.3446
